Week,Date,Rep,Row,Cultivar,Leave,Leaf Incidence,Leaf Severity (%),Year,Cluster Inc,Cluster Sev,rater
1,5/28/2011,1,2,3,1,0,0,2011,,,rac
1,5/28/2011,1,2,3,2,0,0,2011,,,rac
1,5/28/2011,1,2,3,3,0,0,2011,,,rac
1,5/28/2011,1,2,3,4,0,0,2011,,,rac
1,5/28/2011,1,2,3,5,0,0,2011,,,rac
1,5/28/2011,1,2,3,6,0,0,2011,,,rac
1,5/28/2011,1,2,3,7,0,0,2011,,,rac
1,5/28/2011,1,2,3,8,0,0,2011,,,rac
1,5/28/2011,1,2,3,9,0,0,2011,,,rac
1,5/28/2011,1,2,3,10,0,0,2011,,,rac
1,5/28/2011,1,2,3,1,0,0,2011,,,rac
1,5/28/2011,1,2,3,2,0,0,2011,,,rac
1,5/28/2011,1,2,3,3,0,0,2011,,,rac
1,5/28/2011,1,2,3,4,0,0,2011,,,rac
1,5/28/2011,1,2,3,5,0,0,2011,,,rac
1,5/28/2011,1,2,3,6,0,0,2011,,,rac
1,5/28/2011,1,2,3,7,0,0,2011,,,rac
1,5/28/2011,1,2,3,8,0,0,2011,,,rac
1,5/28/2011,1,2,3,9,0,0,2011,,,rac
1,5/28/2011,1,2,3,10,0,0,2011,,,rac
1,5/28/2011,1,2,4,1,0,0,2011,,,rac
1,5/28/2011,1,2,4,2,0,0,2011,,,rac
1,5/28/2011,1,2,4,3,0,0,2011,,,rac
1,5/28/2011,1,2,4,4,0,0,2011,,,rac
1,5/28/2011,1,2,4,5,0,0,2011,,,rac
1,5/28/2011,1,2,4,6,0,0,2011,,,rac
1,5/28/2011,1,2,4,7,0,0,2011,,,rac
1,5/28/2011,1,2,4,8,0,0,2011,,,rac
1,5/28/2011,1,2,4,9,0,0,2011,,,rac
1,5/28/2011,1,2,4,10,0,0,2011,,,rac
1,5/28/2011,1,2,4,1,0,0,2011,,,rac
1,5/28/2011,1,2,4,2,0,0,2011,,,rac
1,5/28/2011,1,2,4,3,0,0,2011,,,rac
1,5/28/2011,1,2,4,4,0,0,2011,,,rac
1,5/28/2011,1,2,4,5,0,0,2011,,,rac
1,5/28/2011,1,2,4,6,0,0,2011,,,rac
1,5/28/2011,1,2,4,7,0,,2011,,,rac
1,5/28/2011,1,2,4,8,0,,2011,,,rac
1,5/28/2011,1,2,4,9,0,,2011,,,rac
1,5/28/2011,1,2,4,10,0,,2011,,,rac
1,5/28/2011,1,3,7,1,0,0,2011,,,rac
1,5/28/2011,1,3,7,2,0,0,2011,,,rac
1,5/28/2011,1,3,7,3,0,0,2011,,,rac
1,5/28/2011,1,3,7,4,0,0,2011,,,rac
1,5/28/2011,1,3,7,5,0,0,2011,,,rac
1,5/28/2011,1,3,7,6,0,0,2011,,,rac
1,5/28/2011,1,3,7,7,0,0,2011,,,rac
1,5/28/2011,1,3,7,8,0,0,2011,,,rac
1,5/28/2011,1,3,7,9,0,0,2011,,,rac
1,5/28/2011,1,3,7,10,0,0,2011,,,rac
1,5/28/2011,1,3,7,1,0,0,2011,,,rac
1,5/28/2011,1,3,7,2,0,0,2011,,,rac
1,5/28/2011,1,3,7,3,0,0,2011,,,rac
1,5/28/2011,1,3,7,4,0,0,2011,,,rac
1,5/28/2011,1,3,7,5,0,0,2011,,,rac
1,5/28/2011,1,3,7,6,0,0,2011,,,rac
1,5/28/2011,1,3,7,7,0,0,2011,,,rac
1,5/28/2011,1,3,7,8,0,0,2011,,,rac
1,5/28/2011,1,3,7,9,0,0,2011,,,rac
1,5/28/2011,1,3,7,10,0,0,2011,,,rac
1,5/28/2011,1,3,8,1,0,0,2011,,,rac
1,5/28/2011,1,3,8,2,0,0,2011,,,rac
1,5/28/2011,1,3,8,3,0,0,2011,,,rac
1,5/28/2011,1,3,8,4,0,0,2011,,,rac
1,5/28/2011,1,3,8,5,0,0,2011,,,rac
1,5/28/2011,1,3,8,6,0,0,2011,,,rac
1,5/28/2011,1,3,8,7,0,0,2011,,,rac
1,5/28/2011,1,3,8,8,0,0,2011,,,rac
1,5/28/2011,1,3,8,9,0,0,2011,,,rac
1,5/28/2011,1,3,8,10,0,0,2011,,,rac
1,5/28/2011,1,3,8,1,0,0,2011,,,rac
1,5/28/2011,1,3,8,2,0,0,2011,,,rac
1,5/28/2011,1,3,8,3,0,0,2011,,,rac
1,5/28/2011,1,3,8,4,0,0,2011,,,rac
1,5/28/2011,1,3,8,5,0,0,2011,,,rac
1,5/28/2011,1,3,8,6,0,0,2011,,,rac
1,5/28/2011,1,3,8,7,0,0,2011,,,rac
1,5/28/2011,1,3,8,8,0,0,2011,,,rac
1,5/28/2011,1,3,8,9,0,0,2011,,,rac
1,5/28/2011,1,3,8,10,0,0,2011,,,rac
1,5/28/2011,1,4,5,1,0,0,2011,,,rac
1,5/28/2011,1,4,5,2,0,0,2011,,,rac
1,5/28/2011,1,4,5,3,0,0,2011,,,rac
1,5/28/2011,1,4,5,4,0,0,2011,,,rac
1,5/28/2011,1,4,5,5,0,0,2011,,,rac
